original_title,overview,popularity,release_date,title,vote_average,vote_count
Malcolm X,"A tribute to the controversial black activist and leader of the struggle for black liberation. He hit bottom during his imprisonment in the '50s, he became a Black Muslim and then a leader in the Nation of Islam. His assassination in 1965 left a legacy of self-determination and racial pride.",13.927,1992-11-18,Malcolm X,7.5,1437
Backstroke,"Two runaway teens steal a car with dreams of driving down to Florida, but things take a turn when a stranger appears with unknown intentions.",11.544,2017-04-01,Backstroke,5.9,17
Sand Castle,"Set during the occupation of Iraq, a squad of U.S. soldiers try to protect a small village.",15.284,2017-04-21,Sand Castle,6.5,700
La tortue rouge,"The dialogue-less film follows the major life stages of a castaway on a deserted tropical island populated by turtles, crabs and birds.",15.033,2016-06-29,The Red Turtle,7.5,1123
Spawn,"After being murdered by corrupt colleagues in a covert government agency, Al Simmons makes a pact with the devil to be resurrected to see his beloved wife Wanda. In exchange for his return to Earth, Simmons agrees to lead Hell's Army in the destruction of mankind.",16.928,1997-07-31,Spawn,5.4,1175
City Slickers,"Three New York businessmen decide to take a ""Wild West"" vacation that turns out not to be the relaxing vacation they had envisioned.",11.277,1991-06-07,City Slickers,6.4,656
दंगल,"Dangal is an extraordinary true story based on the life of Mahavir Singh and his two daughters, Geeta and Babita Phogat. The film traces the inspirational journey of a father who trains his daughters to become world class wrestlers.",16.484,2016-12-21,Dangal,8.0,828
Mickey's Magical Christmas: Snowed in at the House of Mouse,"When a huge snowstorm leaves everyone stranded, Mickey and all of his guests at the House of Mouse, including Pooh, Belle, Snow White, Cinderella, Ariel and many more of his old and new friends, break out the cookies and hot chocolate to help Donald mend his tattered Christmas spirit.",13.511,2001-11-06,Mickey's Magical Christmas: Snowed in at the House of Mouse,6.9,240
The Perfect Find,"After a high-profile firing, Jenna’s fashion career comeback hits a snag when she falls for a charming, much younger coworker — who happens to be her boss’s son. As sparks fly, Jenna must decide if she’ll risk it all on a secret romance.",16.001,2023-06-14,The Perfect Find,0.0,0
Barabbas,"Epic account of the thief Barabbas, who was pardoned for his crimes and spared crucifixion when Pilate offered the Israelites a choice to pardon Barabbas or Jesus. Struggling with his spirituality, Barabbas goes through many ordeals leading him to the gladiatorial arena, where he tries to win his freedom and confront his inner demons, ultimately becoming a follower of the man who was crucified in his place.",13.027,1961-12-23,Barabbas,7.0,132
Twisted,"Recently promoted and transferred to the homicide division, Inspector Jessica Shepard feels pressure to prove herself -- and what better way than by solving San Francisco's latest murder? However, as Shepard and her partner, Mike Delmarco, soon discover, the victim shared a romantic connection to her. As more of Shepard's ex-lovers turn up dead, her mind starts to become unstable, and she begins to wonder if she could be the very killer she's trying to track down.",9.277,2004-02-27,Twisted,5.5,463
Pet Sematary II,"The ""sematary"" is up to its old zombie-raising tricks again. This time, the protagonists are Jeff Matthews, whose mother died in a Hollywood stage accident, and Drew Gilbert, a boy coping with an abusive stepfather.",17.026,1992-08-28,Pet Sematary II,5.4,447
Fatal Affair,"Ellie tries to mend her marriage with her husband Marcus after a brief encounter with an old friend, David, only to find that David is more dangerous and unstable than she'd realized.",9.043,2020-07-16,Fatal Affair,5.7,264
The Crush,A precocious and obsessive teenager develops a crush on a naive writer with harrowing consequences.,16.276,1993-04-02,The Crush,6.5,420
ニンジャバットマン,"Batman, along with many of his allies and adversaries, finds himself transported to feudal Japan by Gorilla Grodd's time displacement machine.",12.285,2018-06-15,Batman Ninja,5.8,756
21 Grams,"Paul Rivers, an ailing mathematician lovelessly married to an English émigré; Christina Peck, an upper-middle-class suburban housewife and mother of two girls; and Jack Jordan, a born-again ex-con, are brought together by a terrible accident that changes their lives.",12.676,2003-09-06,21 Grams,7.3,2794
劇場版ポケットモンスター アドバンスジェネレーション 裂空の訪問者 デオキシス,"Deoxys, a Pokémon from outer space, terrorizes the high-tech city Ash Ketchum and his friends are visiting.",15.526,2004-07-22,Pokémon: Destiny Deoxys,6.6,228
The Book Thief,"While subjected to the horrors of WWII Germany, young Liesel finds solace by stealing books and sharing them with others. Under the stairs in her home, a Jewish refugee is being sheltered by her adoptive parents.",11.779,2013-11-08,The Book Thief,7.5,4046
It's a Boy Girl Thing,"A visit to a natural history museum proves catastrophic for two high school rivals, an overachiever and a jock, when an ancient Aztec statue casts a spell that causes them to switch bodies and see exactly what it's like to walk in the other's shoes.",15.727,2006-07-15,It's a Boy Girl Thing,6.5,948
Dogma,"The latest battle in the eternal war between Good and Evil has come to New Jersey in the late, late 20th Century. Angels, demons, apostles and prophets (of a sort) walk among the cynics and innocents of America and duke it out for the fate of humankind.",18.899,1999-11-12,Dogma,6.9,2221
Kin,"Ahead of a promotion, a police chief becomes entangled in a deadly incident and uncovers an intrigue fueled by grudge that threatens his colleagues.",18.896,2021-10-08,Grudge,6.2,72
A Good Year,"Failed London banker Max Skinner inherits his uncle's vineyard in Provence, where he spent many childhood holidays. Upon his arrival, he meets a woman from California who tells Max she is his long-lost cousin and that the property is hers.",14.177,2006-09-09,A Good Year,6.7,1332
Astérix et les Vikings,"Asterix and Obelix have been given a tough mission: Transform the chief's lazy nephew Justforkix into a warrior. When the Vikings abduct him and bring him back to their homeland, Asterix and Obelix must travel to Norway to rescue Justforkix.",13.776,2006-04-05,Asterix and the Vikings,6.1,618
Kill Command,"Set in a near future, technology-reliant society that pits man against killing machines. Against this backdrop an elite army unit is helicoptered to a remote, off-the-grid island training facility. What starts out as a simple training exercise for Captain Bukes and his tight-knit unit, descends into a terrifying battle to the death, as the marines discover the island is overrun by an enemy that transcends the human concept of evil.",14.78,2016-05-13,Kill Command,5.6,511
Michael Jackson: The Life of an Icon,"See Michael Jackson, one of the most recognizable and popular entertainers of all time, like never before in the feature-length tribute Michael Jackson: The Life of an Icon. Known to millions of fans worldwide for his record-breaking albums, groundbreaking music videos, mesmerizing dance moves and humanitarian efforts, his true story has never really been told...until now. This unprecedented look into the King of Pop's fascinating life includes all-new interviews with his mother Katherine Jackson as well as siblings Tito and Rebbie Jackson, family, friends and music legends such as Smokey Robinson, Dionne Warwick and many more.",14.527,2011-11-02,Michael Jackson: The Life of an Icon,7.8,113
Death of Me,"A couple on holiday on a remote South Pacific island awaken one morning with a hang over and no recollection of what transpired. When playing back a video of the previous night, they see they participated in a local ritual that somehow ends with him murdering her.",13.042,2020-10-02,Death of Me,5.0,216
Merry Madagascar,"The Zoosters are back in an all-new holiday adventure. When Santa and his reindeer crash onto the island of Madagascar it's up to Alex, Marty, Gloria, Melman and those wacky penguins to save Christmas. Get ready for a sleigh full of laughs in this hilarious new holiday classic.",12.026,2009-11-16,Merry Madagascar,6.5,253
A Midsummer Night's Dream,"The lovely Hermia is to wed Demetrius, but she truly cares for Lysander. Hermia's friend, Helena, is in love with Demetrius, while other romantic entanglements abound in the woods, with married fairy rulers Titania and Oberon toying with various lovers and each other.",12.525,1999-05-14,A Midsummer Night's Dream,6.5,312
Anne of Green Gables,"A retelling of L.M. Montgomery's story of Anne Shirley, an orphan who is accidentally sent to a couple looking to adopt a boy instead",11.03,2016-02-15,Anne of Green Gables,7.4,117
Tom and Jerry: A Nutcracker Tale,"Christmas is never so spirited as when Tom and Jerry lock horns for the holidays in their new original movie--Tom & Jerry: A Nutcracker Tale In an empty opera house, Jerry wishes for a chance to perform -- and magically his dream comes true. The little mouse is whisked away to an enchanted kingdom where anything is possible: candy forests, singing snowflakes, even the toys spring to life! Jerry has a great time with his new friends, and when Jerry dances with the music box ballerina, he is as happy as happy can be. Unfortunately, alley cats led by Tom crash Jerry's party, kidnap the music box ballerina and wreak havoc in the holiday kingdom. It's up to Jerry to set things right -- and with help from a fellow mouse named Tuffy and more newfound friends, Jerry just may win the day!",14.525,2007-10-02,Tom and Jerry: A Nutcracker Tale,6.9,120
El baile de los 41,"Mexico City, November 1901. The police raid a private home where a secret party is being held. Among those attending is the son-in-law of President Porfirio Díaz.",12.542,2020-11-19,Dance of the Forty One,7.9,175
Secret Obsession,"Newlywed Jennifer is brutally attacked at a dark rest stop. While healing from her injuries, she can’t recall anything from her past, including the ordeal. Her husband, Russell , is just thankful she’s alive and eager to get her home. As he reintroduces her to their secluded mountain estate, Detective Page  pursues Jennifer’s assailant — his own daughter went missing and was never found. The same fate now awaits Jennifer, unless someone realizes that her loving caretaker is actually her captor.",13.785,2019-07-18,Secret Obsession,5.5,1004
The Tigger Movie,"Winnie the Pooh, Piglet, Owl, Kanga, Roo, and Rabbit are preparing a suitable winter home for Eeyore, the perennially dejected donkey, but Tigger's continual bouncing interrupts their efforts. Rabbit suggests that Tigger go find others of his kind to bounce with, but Tigger thinks ""the most wonderful thing about tiggers is"" he's ""the only one!"" Just in case though, the joyously jouncy feline sets out to see if he can find relatives.",15.224,2000-02-11,The Tigger Movie,6.5,497
Syk pike,"Signe and Thomas are in an unhealthy, competitive relationship that takes a vicious turn when Thomas suddenly breaks through as a contemporary artist. In response, Signe makes a desperate attempt to regain her status by creating a new persona hell-bent on attracting attention and sympathy.",13.048,2022-09-30,Sick of Myself,7.2,45
The Fall,"In a hospital on the outskirts of 1920s Los Angeles, an injured stuntman begins to tell a fellow patient, a little girl with a broken arm, a fantastic story about 5 mythical heroes. Thanks to his fractured state of mind and her vivid imagination, the line between fiction and reality starts to blur as the tale advances.",10.975,2006-09-09,The Fall,7.6,1114
Ivy + Bean: Doomed to Dance,"Ivy and Bean sign up for ballet, only to learn they'll be dancing in a recital in front of hundreds of people. Time to get out of it — tout suite!",18.875,2022-09-02,Ivy + Bean: Doomed to Dance,7.5,6
Balle perdue,"A small time delinquent, turned police mechanic for a go fast task force, is forced to defend his innocence when his mentor is killed by dirty cops.",13.288,2020-06-19,Lost Bullet,6.6,703
Dèmoni,"A group of people are trapped in a West Berlin movie theater infested with ravenous demons who proceed to kill and possess the humans one-by-one, thereby multiplying their numbers.",11.522,1985-10-04,Demons,6.6,473
The Postcard Killings,"After suffering a personal tragedy, and desperate for justice, Jacob Kanon, a veteran New York City police detective, embarks on the search for a twisted killer who is leaving a bloody trail of elaborate murders across Europe.",14.537,2020-03-13,The Postcard Killings,6.5,458
投名狀,"A heroic tale of three blood brothers and their struggle in the midst of war and political upheaval. It is based on ""The Assassination of Ma,"" a Qing Dynasty (1644-1911) story about the killing of general Ma Xinyi.",14.974,2007-12-12,The Warlords,6.7,272
罗布泊神秘事件,"The film mainly tells about the bizarre cases in the Lop Nur area during the Republic of China. Shi Chuqi, the president of the mysterious incident investigation organization ""Seven Sons"", led the team members to solve the mystery. The film focuses on many mysterious and unresolved events based on elements such as exploring the unknown and revealing the truth. It also adds science fiction elements of ancient space civilization to satisfy the audience's curiosity.",17.651,2022-02-23,The Mystery of Lop Nur,4.7,3
LEGO Marvel Spider-Man: Vexed by Venom,"Thanks to Green Goblin and Venom, tech theft is now at an all-time high. Can our Friendly Neighborhood Spider-Man put an end to their mysterious villainous scheme before all of New York City is destroyed?",10.793,2019-08-03,LEGO Marvel Spider-Man: Vexed by Venom,7.1,17
Prom Night,"Donna's senior prom is supposed to be the best night of her life, though a sadistic killer from her past has different plans for her and her friends.",14.023,2008-04-10,Prom Night,5.0,634
Kiss Kiss Bang Bang,A petty thief posing as an actor is brought to Los Angeles for an unlikely audition and finds himself in the middle of a murder investigation along with his high school dream girl and a detective who's been training him for his upcoming role...,14.723,2005-09-05,Kiss Kiss Bang Bang,7.2,2383
Sissi - Die junge Kaiserin,"Sissi is now the empress of Austria and attempts to learn etiquette. While she is busy being empress she also has to deal with her difficult new mother-in-law, while the arch-duchess Sophie is trying to tell the emperor how to rule and also Sissi how to be a mother.",13.522,1956-12-01,Sissi: The Young Empress,7.1,295
Downfall: The Case Against Boeing,Investigators reveal how Boeing’s alleged priority of profit over safety could have contributed to two catastrophic crashes within months of each other.,13.309,2022-02-09,Downfall: The Case Against Boeing,7.1,135
Tomcats,"College buddies chip in and promise that the group's last unmarried man will collect a cash pot. Seven years later, the kitty is worth $500,000 -- money Michael needs to pay a gambling debt. Problem is, the only other single guy is a hopeless womanizer!",12.472,2001-03-30,Tomcats,5.1,219
Broken Ties,"Selma killed her husband, a crooked cop, in self-defense. She takes refuge with her estranged sister Madison without telling her the whole truth.",13.399,2023-03-06,Broken Ties,7.2,6
Sleepless,"Undercover Las Vegas police officer Vincent Downs, who has got a lot of enemies, is caught in a high stakes web of corrupt cops and the mob-controlled casino underground. When a heist goes wrong, a crew of homicidal gangsters get T, Downs’ teenage son. In one sleepless night, he will have to rescue his son T (whom they got), evade an internal affairs investigation and bring the kidnappers to justice.",13.278,2017-01-12,Sleepless,5.9,1150
Love in the Time of Cholera,"In Colombia just after the Great War, an old man falls from a ladder; dying, he professes great love for his wife. After the funeral, a man calls on the widow - she dismisses him angrily. Flash back more than 50 years to the day Florentino Ariza, a telegraph boy, falls in love with Fermina Daza, the daughter of a mule trader.",11.023,2007-10-04,Love in the Time of Cholera,6.6,332
Any Given Sunday,A star quarterback gets knocked out of the game and an unknown third stringer is called in to replace him. The unknown gives a stunning performance and forces the ageing coach to reevaluate his game plans and life. A new co-owner/president adds to the pressure of winning. The new owner must prove herself in a male dominated world.,13.521,1999-12-22,Any Given Sunday,6.8,1463
Nix,"When a mysterious entity manifests itself, a family finds themselves on a scary and dark journey into their own self-created madness.",18.114,2022-09-27,Nix,7.2,9
The Way Back,"At the dawn of WWII, several men escape from a Russian gulag—to take a perilous and uncertain journey to freedom as they cross deserts, mountains and several nations.",15.223,2010-11-22,The Way Back,7.0,1337
Mujeres al borde de un ataque de nervios,"Pepa resolves to kill herself with a batch of sleeping-pill-laced gazpacho after her lover leaves her. Fortunately, she is interrupted by a deliciously chaotic series of events.",13.22,1988-03-25,Women on the Verge of a Nervous Breakdown,7.4,759
Hysteria,"Two doctors in Victorian England use manual stimulation of female genitalia to cure their patients' ills, leading to the invention of the vibrator.",12.523,2011-06-06,Hysteria,6.7,735
Nineteen Eighty-Four,George Orwell's novel of a totalitarian future society in which a man whose daily work is rewriting history tries to rebel by falling in love.,14.52,1984-11-09,Nineteen Eighty-Four,6.8,1228
Point Blank,A nurse is forced to spring a wounded murder suspect from the hospital when the man’s brother kidnaps his pregnant wife and wants to make a trade.,9.282,2019-07-12,Point Blank,6.1,475
Spree,"Desperate for an online following, a rideshare driver has figured out a deadly plan to go viral and he will stop at nothing to get his five minutes of fame.",15.037,2020-08-14,Spree,6.5,347
Jack,"Jack Powell suffers from an affliction that makes him grow four times faster than normal, so the 10-year-old looks like a 40-year-old man. After years of being tutored at home, Jack convinces his overprotective parents to send him to public school. The children don't know what to make of Jack, but with the help of his fifth-grade teacher, he makes an effort to win them over.",9.269,1996-08-09,Jack,6.3,1116
Plan A,"Germany 1945, Max, a Jewish Holocaust survivor, meets a radical group of Jewish resistance fighters, who, like him, lost all hope for their future after they were robbed of their existence and their entire families were killed by the Nazis. They dream of retaliation on an epic scale for the Jewish people. An eye for an eye, a tooth for a tooth. Max starts identifying with the group's monstrous plans...",16.827,2021-08-16,Plan A,6.1,76
Jackass Presents: Bad Grandpa,"86-year-old Irving Zisman is on a journey across America with the most unlikely companion: his 8 year-old grandson, Billy.",18.844,2013-10-22,Jackass Presents: Bad Grandpa,6.1,1421
Le farò da padre,"In order to convince Raimonda, a wealthy noble woman, to finance his project for a holiday resort, Saverio gets engaged to Clotilde, her mentally-disturbed and sex-obsessed adolescent daughter. He plans to have her kidnapped and raped by an accomplice so she won't be a virgin anymore and he'll have an excuse to get out of the impending marriage. But what he doesn't plan is to fall in love with the girl...",12.549,1974-09-17,Bambina,4.6,26
Barbie: A Perfect Christmas,"Join Barbie and her sisters Skipper, Stacie and Chelsea as their holiday vacation plans turn into a most unexpected adventure and heartwarming lesson. After a snowstorm diverts their plane, the girls find themselves far from their New York destination and their holiday dreams. Now stranded at a remote inn in the tiny town of Tannenbaum, the sisters are welcomed by new friends and magical experiences. In appreciation for the wonderful hospitality they receive, they use their musical talents to put on a performance for the whole town. Barbie and her sisters realize the joy of being together is what really makes A Perfect Christmas!",14.272,2011-11-03,Barbie: A Perfect Christmas,6.7,269
Vengeance: A Love Story,"When a new friend is brutally assaulted, Detective John Droomor is put by chance in charge of the investigation. Although the evidence against the perpetrators seems overwhelming, there is nothing definitive in the case that guarantees justice is served, even more so if some people are willing to twist and betray it.",13.026,2017-03-16,Vengeance: A Love Story,5.6,251
Stewie Griffin: The Untold Story,"The major sub-plot circles around the youngest Griffin, Stewie, who has a near-death experience at a pool when a lifeguard chair falls on him, but he survives. After having a vision of being in Hell, he decides to change his ways, but this doesn't last long. While watching television, he and Brian spot a man that looks like Stewie. Brian is convinced that he is Stewie's real father, until Stewie learns that the man is actually himself as an adult, taking a vacation from his own time period. Baby Stewie visits thirty years later to discover that his adult self, going by the name Stu, is a single blue-collar middle-aged virgin working at a Circuit City-type store. Meanwhile, Peter and Lois are trying to teach their two older kids, Meg and Chris, to date. In the future, Chris, who hasn't changed much, is working as a cop and is married to a foul-mouthed hustler named Vanessa. Meg is now called Ron, since she had a sex-change after college. Written by pepperann210",15.22,2005-07-23,Stewie Griffin: The Untold Story,6.9,339
名探偵コナン 世紀末の魔術師,"Kaitou Kid dares to challenge the police once more, setting his sights on the Russian Imperial Easter Egg. With the date, time, and place, the Osaka police force scrambles to stop him. But this time, Kid may have bitten off more than he can chew—Conan Edogawa, Heiji Hattori, and numerous others are also trying to get their hands on the jeweled egg.",14.27,1999-04-17,Detective Conan: The Last Wizard of the Century,7.2,139
The Thirteenth Floor,"Los Angeles. A wealthy man, known as Mr. Fuller, discovers a shocking secret about the world he lives in. Fearing for his life, he leaves a desperate message for a friend of his in the most unexpected place.",14.52,1999-04-16,The Thirteenth Floor,7.0,1109
어린 처제 4,"Yong-hoon, who is currently separated with his wife, Bo-mi, consults her sister-in-law Bo-young how to change her sister's mind. Due to their frequent meeting, Yong-hoon is drawn to his sister-in-law, Bo-young and crosses the line that shouldn't be crossed.",18.343,2020-04-19,Young Sister-In-Law 4,8.3,2
Blue Story,"Blue Story is a tragic tale of a friendship between Timmy and Marco, two young boys from opposing postcodes. Timmy, a shy, smart, naive and timid young boy from Deptford, goes to school in Peckham where he strikes up a friendship with Marco, a charismatic, streetwise kid from the local area. Although from warring postcodes, the two quickly form a firm friendship until it is tested and they wind up on rival sides of a street war. Blue Story depicts elements of Rapman's own personal experiences and aspects of his childhood.",11.782,2019-11-22,Blue Story,7.3,188
特區愛奴,"Tong catches Chiu attempting to rape his wife May (Amy Yip). They scuffle and Tong shoots Chiu dead with Chiu's gun. They flee but Tong is killed in a shootout with police. May begs an officer to take her child, since if he is repatriated he'll have a horrible life. So, the infant son ends up in Hong Kong separated from his mother. Six years pass and May is a hotel maid then gets forced into prostitution. She longs to see her son, who is now a young boy, maybe to fully reunite with him. The problem with this film is it becomes so sleazy. There is nudity (not Ms. Yip), violence and forcible rape.",9.298,1992-01-01,China Dolls,2.0,1
Saludos Amigos,"Live-action segments show members of the Disney staff touring South America and recording their impressions in sketches. These segue into four animated sections: ""Lake Titicaca"" depicts tourist Donald Duck's troubles with a stubborn llama; ""Pedro"" tells of a little mail plane's adventures flying over the treacherous Andes; ""El Gaucho Goofy"" transplants an American cowboy into the Argentine pampas; and in ""Aquarela do Brasil,"" Jose Carioca shows Donald the sights and sounds of Rio de Janiero.",18.769,1942-08-24,Saludos Amigos,5.9,374
Look Who's Talking Too,"Mollie and James are together and raising a family, which now consists of an older Mikey and his baby sister, Julie. Tension between the siblings arises, and as well with Mollie and James when Mollie's brother Stuart moves in. Mikey is also learning how to use the toilet for the first time.",10.518,1990-12-14,Look Who's Talking Too,5.5,1247
Belly,"Tommy Bundy and Sincere are best friends as well as infamous and ruthless criminals and shot-callers in the hood. Respected by many but feared by all.  As the police are closing in on them and new players are looking for a come up, will their reign last?",10.269,1998-11-04,Belly,6.0,113
The Unforgiven,The neighbors of a frontier family turn on them when it is suspected that their beloved adopted daughter was stolen from the Kiowa tribe.,13.269,1960-04-06,The Unforgiven,6.3,149
天使のたまご,"In a desolate and dark world full of shadows, lives one little girl who seems to do nothing but collect water in jars and protect a large egg she carries everywhere. A mysterious man enters her life... and they discuss the world around them.",11.267,1985-12-22,Angel's Egg,7.8,327
"Promiscuidade, os Pivetes de Kátia",A story of a young woman who is cheating her impotent husband with the surrounding teenagers.,12.507,1984-04-30,"Promiscuity, the Street Kids of Katia",4.5,8
Le Samouraï,"After carrying out a flawlessly planned hit, Jef Costello, a contract killer with samurai instincts, finds himself caught between a persistent police investigator and a ruthless employer, and not even his armor of fedora and trench coat can protect him.",12.518,1967-10-25,Le Samouraï,7.9,861
Short Circuit,"After a lightning bolt zaps a robot named Number 5, the lovable machine starts to think he's human and escapes the lab. Hot on his trail is his designer, Newton, who hopes to get to Number 5 before the military does. In the meantime, a spunky animal lover mistakes the robot for an alien and takes him in, teaching her new guest about life on Earth.",12.767,1986-05-09,Short Circuit,6.6,1294
The Dead Zone,"Johnny Smith is a schoolteacher with his whole life ahead of him but, after leaving his fiancee's home one night, is involved in a car crash which leaves him in a coma for 5 years. When he wakes, he discovers he has an ability to see into the past, present and future life of anyone with whom he comes into physical contact.",12.216,1983-10-21,The Dead Zone,7.0,1393
Piccole labbra,"A writer returns home to his estate after service in World War I. He has developed a very bad case of depression due to a war wound concerning his genitalia. He contemplates suicide, but recovers after becoming interested in his caretaker's 12 year-old war orphan niece, who now lives in the manor.",11.616,1978-02-08,Little Lips,5.4,20
7 Prisioneiros,An impoverished teen seeking to escape the clutches of a human trafficker must weigh living up to his moral code against his struggle to survive.,17.797,2021-10-22,7 Prisoners,7.1,304
The Thirteenth Year,A teen learns that his birth mother is a mermaid after he begins to grow fins and slimy scales on his thirteenth birthday.,15.267,1999-05-15,The Thirteenth Year,6.6,196
The Opposite of Sex,"A 16-year-old girl visits her gay half-brother and ends up seducing his boyfriend, thus wreaking havoc on all of their lives.",13.767,1998-05-22,The Opposite of Sex,6.2,174
The War of the Roses,"The Roses, Barbara and Oliver, live happily as a married couple. Then she starts to wonder what life would be like without Oliver, and likes what she sees. Both want to stay in the house, and so they begin a campaign to force each other to leave. In the middle of the fighting is D'Amato, the divorce lawyer. He gets to see how far both will go to get rid of the other, and boy do they go far.",13.265,1989-12-08,The War of the Roses,6.9,983
Johnny Mnemonic,"In a dystopian 2021, Johnny is a data trafficker who has an implant that allows him to securely store data too sensitive for regular computer networks. On one delivery run, he accepts a package that not only exceeds the implant's safety limits—and will kill him if the data is not removed in time—but also contains information far more important and valuable than he had ever imagined. On a race against time, he must avoid the assassins sent to kill him and remove the data before it, too, ends his life.",11.015,1995-05-26,Johnny Mnemonic,5.8,1169
Knockin' on Heaven's Door,"Two young men, Martin and Rudi, both suffering from terminal cancer, get to know each other in a hospital room. They drown their desperation in tequila and decide to take one last trip to the sea. Drunk and still in pajamas they steal the first fancy car they find, a 60's Mercedes convertible. The car happens to belong to a bunch of gangsters, which immediately start to chase it, since it contains more than the pistol Martin finds in the glove box.",9.966,1997-02-20,Knockin' on Heaven's Door,7.6,428
Red Lights,"Two investigators of paranormal hoaxes, the veteran Dr. Margaret Matheson and her young assistant, Tom Buckley, study the most varied metaphysical phenomena with the aim of proving their fraudulent origins. Simon Silver, a legendary blind psychic, reappears after an enigmatic absence of 30 years to become the greatest international challenge to both orthodox science and professional sceptics. Tom starts to develop an intense obsession with Silver, whose magnetism becomes stronger with each new manifestation of inexplicable events. As Tom gets closer to Silver, tension mounts, and his worldview is threatened to its core.",14.268,2012-03-02,Red Lights,6.2,1107
新少林寺,"China is plunged into strife as feuding warlords try to expand their power by warring over neighboring lands. Fuelled by his success on the battlefield, young and arrogant Hao Jie sneers at Shaolin's masters when he beats one of them in a duel. But the pride comes before a fall. When his own family is wiped out by a rival warlord, Hao is forced to take refuge with the monks. As the civil unrest spreads and the people suffer, Hao and the Shaolin masters are forced to take a fiery stand against the evil warlords. They launch a daring plan or rescue and escape.",15.268,2011-01-20,Shaolin,6.9,314
Single White Female,"Attractive Manhattanite Allison Jones has it all: a handsome beau, a rent-controlled apartment, and a promising career as a fashion designer. When boyfriend Sam proves unfaithful, Allison strikes out on her own but must use the classifieds to seek out a roommate in order to keep her spacious digs.",12.015,1992-08-14,Single White Female,6.3,510
Revolt,"The story of humankind's last stand against a cataclysmic alien invasion. Set in the war-ravaged African countryside, a U.S. soldier and a French foreign aid worker team up to survive the alien onslaught. Their bond will be tested as they search for refuge across a crumbling world.",10.272,2017-07-01,Revolt,5.4,309
Ghost Dog: The Way of the Samurai,An African-American Mafia hit man who models himself after the samurai of ancient Japan finds himself targeted for death by the mob.,12.965,1999-06-02,Ghost Dog: The Way of the Samurai,7.3,1003
Prey,A hiking trip into the wild turns into a desperate bid for survival for five friends on the run from a mysterious shooter.,16.793,2021-09-10,Prey,4.7,304
Stan Helsing,"It's Halloween night and video store clerk Stan Helsing just got stuck with a last minute request to deliver some videos. With his best friend, his best friend's date, and a smoking hot ex-girlfriend waiting to go to a party, Stan convinces them to take a side trip to Stormy Night Estates for the drop. But the group gets locked inside and Stan discovers he's actually Stan Van Helsing, descendan",15.916,2009-10-27,Stan Helsing,4.2,410
名探偵コナン・絶海の探偵,"The movie is set on a state-of-the art Aegis vessel with the full cooperation of Japan's real-life Ministry of Defense and Maritime Self-Defense Force. The corpse of a Self-Defense Force member has been found — minus the left arm — and a spy has infiltrated the Aegis vessel. The heroine Ran is put in jeopardy, and Conan is forced to stand up against the dangerous Spy ""X.""",14.248,2013-04-19,Detective Conan: Private Eye in the Distant Sea,6.6,91
The Incredible Hulk,"An accidental overdose of gamma radiation causes a mutation in scientist David Banner's DNA: now whenever he becomes angry, he metamorphoses into a seven-foot-tall, 330-pound, mindless muscular green creature.",12.764,1977-11-04,The Incredible Hulk,6.4,110
Barbershop 2: Back in Business,"The continuing adventures of the barbers at Calvin's Barbershop. Gina, a stylist at the beauty shop next door, is now trying to cut in on his business. Calvin is again struggling to keep his father's shop and traditions alive--this time against urban developers looking to replace mom & pop establishments with name-brand chains. The world changes, but some things never go out of style--from current events and politics to relationships and love, you can still say anything you want at the barbershop.",10.265,2004-01-20,Barbershop 2: Back in Business,5.9,226
Монгол,"The story recounts the early life of Genghis Khan, a slave who went on to conquer half the world in the 11th century.",14.016,2007-09-20,Mongol: The Rise of Genghis Khan,6.7,540
Angel Heart,"Down-and-out private detective Harry Angel is ordered by the mysterious Louis Cyphre to go on a mission to find a missing person. His routine failure soon leads to a bloody spar with himself, as he goes on a supernatural journey into his own soul.",15.663,1987-03-06,Angel Heart,7.1,1296
Hotel for Dogs,"Placed in a foster home that doesn't allow pets, 16-year-old Andi and her younger brother, Bruce, turn an abandoned hotel into a home for their dog. Soon other strays arrive, and the hotel becomes a haven for every orphaned canine in town. But the kids have to do some quick thinking to keep the cops off their tails.",12.015,2009-01-16,Hotel for Dogs,6.0,793
Teeth,"Dawn is an active member of her high-school chastity club but, when she meets Tobey, nature takes its course, and the pair answer the call. They suddenly learn she is a living example of the vagina dentata myth, when the encounter takes a grisly turn.",12.365,2008-01-18,Teeth,5.3,638
イエスかノーか半分か,"Kunieda Kei is a popular, young TV announcer whose public and private personas are so different, they might be called extreme. On the outside, he is the picture of perfection, affectionately nicknamed ""The Prince,"" while on the inside he is constantly cursing at all of the incompetence around him. Of course, no one knows this secret of his.  One day, Kei meets animation artist Tsuzuki Ushio for a work assignment. While Kei is in ""inside mode,"" he later runs into Tsuzuki, who doesn't recognize him in his worn-out sweats and a facemask, but as compensation for injuring Tsuzuki's arm, Kei gets roped into helping out with his work.",16.523,2020-12-11,"Yes, No, or Maybe Half?",7.1,33
Marquis de Sade: Justine,"Without a family, penniless and separated from her sister, a beautiful chaste woman will have to cope with an endless parade of villains, perverts and degenerates who will claim not only her treasured virtue but also her life.",12.994,1969-04-03,Marquis de Sade: Justine,5.3,41
